"popid"	"lower_cdl"	"med_cdl"	"upper_cdl"	"order.x"	"lower_r"	"med_r"	"upper_r"	"lower_s"	"med_s"	"upper_s"	"lower_b"	"med_b"	"upper_b"	"lower_w"	"med_w"	"upper_w"	"lower_e"	"med_e"	"upper_e"	"ID"	"PY"	"pops_left_drc"	"region"	"genus"	"spec"	"nmethod"	"degN"	"degE"	"n_pp"	"day"
"24"	"chen.YX.Helicoverpa.armigera"	11.9558306989743	12.7366556303102	13.5274367290612	"Lepidoptera"	0.238708177280795	0.328274114330569	0.440607681576563	0.183402796896959	0.220409320748436	0.249586718448418	0.0462579974490361	0.0723677405839424	0.107043393312365	0.126476696854423	0.147758655411041	0.168876444961711	186.388662626085	239.556982414021	272.675303250873	"chen"	2013	"5"	"Asia"	"Helicoverpa"	"armigera"	"global average"	29.04	116.82	6	307
"25"	"fimmuro.Iwate1.Haplothrips.brevitubus"	14.0334533270908	14.9119161527912	15.8527163972376	"Thysanoptera"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"fimmuro"	2014	"3"	"Japan"	"Haplothrips"	"brevitubus"	"pop level"	39.701944	141.154444	11	320
"26"	"fimmuro.Iwate2.Haplothrips.brevitubus"	13.7698585883091	14.5281886120056	15.0170927861751	"Thysanoptera"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"fimmuro"	2014	"3"	"Japan"	"Haplothrips"	"brevitubus"	"pop level"	39.701944	141.154444	11	320
"27"	"fimmuro.Iwate3.Haplothrips.brevitubus"	14.0335919266352	14.612829658211	15.2216674751745	"Thysanoptera"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"fimmuro"	2014	"3"	"Japan"	"Haplothrips"	"brevitubus"	"pop level"	39.701944	141.154444	11	320
"28"	"fimmuro.Iwate4.Haplothrips.brevitubus"	14.0524465355111	14.9320213806326	15.8530293877917	"Thysanoptera"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"fimmuro"	2014	"3"	"Japan"	"Haplothrips"	"brevitubus"	"pop level"	39.701944	141.154444	11	320
"29"	"fimmuro.Iwate5.Haplothrips.brevitubus"	14.0567736971191	14.5026580770564	14.9465602361368	"Thysanoptera"	0.41766729911253	0.783369879839639	0.964650896928422	0.230804407643234	0.249534050938993	0.250232982150103	0.0979223491998291	0.195110362698609	0.241371171926944	0.00884492387372187	0.0538384379268299	0.135979091255143	174.316595656369	196.82027109053	219.682301332837	"fimmuro"	2014	"3"	"Japan"	"Haplothrips"	"brevitubus"	"pop level"	39.701944	141.154444	11	320
"30"	"fimmuro.Kagoshima1.Haplothrips.brevitubus"	10.099890591055	12.8220148946399	15.9063518309307	"Thysanoptera"	2.75160241084376e-05	0.0107375125168587	0.132833373882361	0.00527236047125591	0.0364658283823907	0.128583254809749	4.32843279787992e-07	0.000326021859344598	0.0162364998161417	0.00526481887890342	0.0359839835100324	0.113411540595079	178.945827103207	282.741027847894	351.73849033696	"fimmuro"	2014	"3"	"Japan"	"Haplothrips"	"brevitubus"	"pop level"	31.633708	130.402436	20	356
"31"	"fimmuro.Kagoshima2.Haplothrips.brevitubus"	10.1402271071328	12.7384113126693	15.8655337110294	"Thysanoptera"	3.31509577747632e-05	0.0129534856755687	0.116654483785099	0.0111363828332141	0.0514690730718637	0.134811549452192	1.0612434380469e-06	0.000564446649043662	0.0137130844288246	0.0110283849545272	0.0505955653975921	0.122642027090271	179.160262503851	262.9626396999	350.40327020572	"fimmuro"	2014	"3"	"Japan"	"Haplothrips"	"brevitubus"	"pop level"	31.633708	130.402436	20	356
"32"	"fimmuro.Kagoshima3.Haplothrips.brevitubus"	10.0535165294369	11.4352964975462	15.6634025606218	"Thysanoptera"	0.000201486502045076	0.0493454692115562	0.239552349821665	0.0173729232772129	0.0752832091448823	0.174122922589269	6.15383911761382e-06	0.00348952633129314	0.0410969212622741	0.0172627525613535	0.0711756722502203	0.13574791441886	188.071605950421	303.438868633478	353.064064054218	"fimmuro"	2014	"3"	"Japan"	"Haplothrips"	"brevitubus"	"pop level"	31.633708	130.402436	20	356
"33"	"fimmuro.Kagoshima4.Haplothrips.brevitubus"	10.0586873785115	10.9666750083365	11.9107720355161	"Thysanoptera"	0.16513790932854	0.43772075968083	0.746267520779986	0.147696635437956	0.222268886574506	0.247777099340874	0.0247168350613236	0.0970702693410604	0.184527502651418	0.0623044334985999	0.121559495171953	0.153074464177274	272.969201593017	313.78065285254	353.656462129524	"fimmuro"	2014	"3"	"Japan"	"Haplothrips"	"brevitubus"	"pop level"	31.633708	130.402436	20	356
