set,id,PY,region,pops_left,genus,spec,order,pop,degN,degE,nmethod,perc,n2,dl2,n_sloped,larger2sl
newsearch,kimura_geogr_2,1984,japan,4,Drosophila,triauraria,Diptera,OI,33.25,131.65,accurate,3.125,32,13.5,NA,NA
newsearch,kimura_geogr_2,1984,japan,4,Drosophila,triauraria,Diptera,KG,31.58,130.54,accurate,100,53,10,NA,NA
newsearch,kimura_geogr_2,1984,japan,4,Drosophila,triauraria,Diptera,KG,31.58,130.54,accurate,74.1935483871,62,11.5,NA,NA
newsearch,kimura_geogr_2,1984,japan,4,Drosophila,triauraria,Diptera,KG,31.58,130.54,accurate,51.1627906977,86,12,NA,NA
newsearch,kimura_geogr_2,1984,japan,4,Drosophila,triauraria,Diptera,KG,31.58,130.54,accurate,21.4285714286,98,12.5,NA,NA
newsearch,kimura_geogr_2,1984,japan,4,Drosophila,triauraria,Diptera,KG,31.58,130.54,accurate,5.1282051282,39,13,NA,NA
newsearch,koveos,1993,Europe,7,Tetranychus,urticae,Trombidiformes,leningrad,59.933333,30.266667,global average,99.3243243243,250,8,2,n
newsearch,koveos,1993,Europe,7,Tetranychus,urticae,Trombidiformes,leningrad,59.933333,30.266667,global average,99.2549469112,250,9,2,n
newsearch,koveos,1993,Europe,7,Tetranychus,urticae,Trombidiformes,leningrad,59.933333,30.266667,global average,99.1885859073,250,10,2,n
newsearch,koveos,1993,Europe,7,Tetranychus,urticae,Trombidiformes,leningrad,59.933333,30.266667,global average,99.1222249035,250,11,2,n
newsearch,koveos,1993,Europe,7,Tetranychus,urticae,Trombidiformes,leningrad,59.933333,30.266667,global average,99.0528474903,250,12,2,n
newsearch,koveos,1993,Europe,7,Tetranychus,urticae,Trombidiformes,leningrad,59.933333,30.266667,global average,98.9834700772,250,13,2,n
newsearch,koveos,1993,Europe,7,Tetranychus,urticae,Trombidiformes,leningrad,59.933333,30.266667,global average,98.9171090734,250,14,2,n
newsearch,koveos,1993,Europe,7,Tetranychus,urticae,Trombidiformes,leningrad,59.933333,30.266667,global average,97.5295608108,250,14.5,2,n
newsearch,koveos,1993,Europe,7,Tetranychus,urticae,Trombidiformes,leningrad,59.933333,30.266667,global average,96.8207046332,250,15,2,n
