line-ID	pops_with_Dia	n_dls	genus	species	order	pop	degN	degE	perc	n2	dl2	py	cdl	slope							
6-ON	10	7	Drosophila	auraria	diptera	ON	41.972	140.6691	-1.0067114094	110	16	1984	x	x							
6-ON	10	7	Drosophila	auraria	diptera	ON	41.972	140.6691	-1.4578985957	110	14	1984	x	x							
6-ON	10	7	Drosophila	auraria	diptera	ON	41.972	140.6691	2.6234654936	110	13.5	1984	x	x							
6-ON	10	7	Drosophila	auraria	diptera	ON	41.972	140.6691	11.7383866298	110	13	1984	x	x							
6-ON	10	7	Drosophila	auraria	diptera	ON	41.972	140.6691	33.267535202	110	12.5	1984	x	x							
6-ON	10	7	Drosophila	auraria	diptera	ON	41.972	140.6691	69.2356137086	110	12	1984	x	x							
6-ON	10	7	Drosophila	auraria	diptera	ON	41.972	140.6691	77.5148985769	110	10	1984	x	x							
6-SM	10	5	Drosophila	auraria	diptera	SM	40.599028	141.397611	-1.6797322956	110	16	1984	x	n							
6-SM	10	5	Drosophila	auraria	diptera	SM	40.599028	141.397611	-1.4578985957	110	14	1984	x	n							
6-SM	10	5	Drosophila	auraria	diptera	SM	40.599028	141.397611	-1.6242738706	110	12.5	1984	x	n							
6-SM	10	5	Drosophila	auraria	diptera	SM	40.599028	141.397611	25.9470231045	110	12	1984	x	n							
6-SM	10	5	Drosophila	auraria	diptera	SM	40.599028	141.397611	63.7583892617	110	10	1984	x	n							
6-KT	10	4	Drosophila	auraria	diptera	KT	39.28675	141.113222	-1.3441618258	110	16	1984	x	n							
6-KT	10	4	Drosophila	auraria	diptera	KT	39.28675	141.113222	-1.4578985957	110	14	1984	x	n							
6-KT	10	4	Drosophila	auraria	diptera	KT	39.28675	141.113222	48.750775478	110	12	1984	x	n							
6-KT	10	4	Drosophila	auraria	diptera	KT	39.28675	141.113222	62.0636173933	110	10	1984	x	n							
6-IW	10	8	Drosophila	auraria	diptera	IW	38.104278	140.87016	-1.6797322956	110	16	1984	x	x							
6-IW	10	8	Drosophila	auraria	diptera	IW	38.104278	140.87016	-1.4578985957	110	14	1984	x	x							
6-IW	10	8	Drosophila	auraria	diptera	IW	38.104278	140.87016	-1.4015001974	110	13.5	1984	x	x							
6-IW	10	8	Drosophila	auraria	diptera	IW	38.104278	140.87016	1.3394619593	110	13	1984	x	x							
6-IW	10	8	Drosophila	auraria	diptera	IW	38.104278	140.87016	-1.6242738706	110	12.5	1984	x	x							
6-IW	10	8	Drosophila	auraria	diptera	IW	38.104278	140.87016	18.5663527156	110	12	1984	x	x							
6-IW	10	8	Drosophila	auraria	diptera	IW	38.104278	140.87016	31.709999436	110	11.5	1984	x	x							
6-IW	10	8	Drosophila	auraria	diptera	IW	38.104278	140.87016	54.3605361608	110	10	1984	x	x							
6-TS	10	8	Drosophila	auraria	diptera	TS	36.321889	139.003278	-1.0067114094	110	16	1984	x	x							
6-TS	10	8	Drosophila	auraria	diptera	TS	36.321889	139.003278	-1.7934690655	110	14	1984	x	x							
6-TS	10	8	Drosophila	auraria	diptera	TS	36.321889	139.003278	-1.0772094073	110	13.5	1984	x	x							
6-TS	10	8	Drosophila	auraria	diptera	TS	36.321889	139.003278	-1.0095313293	110	13	1984	x	x							
6-TS	10	8	Drosophila	auraria	diptera	TS	36.321889	139.003278	-1.2981031339	110	12.5	1984	x	x							
6-TS	10	8	Drosophila	auraria	diptera	TS	36.321889	139.003278	9.1722595078	110	12	1984	x	x							
6-TS	10	8	Drosophila	auraria	diptera	TS	36.321889	139.003278	17.2823491813	110	11.5	1984	x	x							
6-TS	10	8	Drosophila	auraria	diptera	TS	36.321889	139.003278	41.6144981483	110	10	1984	x	x							
6-TK	10	5	Drosophila	auraria	diptera	TK	34.35	134.05	-1.4597785423	110	14	1984	x	n							
6-TK	10	5	Drosophila	auraria	diptera	TK	34.35	134.05	-1.677852349	110	16	1984	x	n							
6-TK	10	5	Drosophila	auraria	diptera	TK	34.35	134.05	1.2793036678	110	13.5	1984	x	n							
6-TK	10	5	Drosophila	auraria	diptera	TK	34.35	134.05	9.1722595078	110	12	1984	x	n							
6-TK	10	5	Drosophila	auraria	diptera	TK	34.35	134.05	54.3473765345	110	10	1984	x	n							
6-OI	10	7	Drosophila	auraria	diptera	OI	33.233333	131.606667	-1.6797322956	110	16	1984	x	n							
6-OI	10	7	Drosophila	auraria	diptera	OI	33.233333	131.606667	-1.4578985957	110	14	1984	x	n							
6-OI	10	7	Drosophila	auraria	diptera	OI	33.233333	131.606667	-1.0095313293	110	13	1984	x	n							
6-OI	10	7	Drosophila	auraria	diptera	OI	33.233333	131.606667	-1.3018630271	110	12.5	1984	x	n							
6-OI	10	7	Drosophila	auraria	diptera	OI	33.233333	131.606667	2.4589701652	110	12	1984	x	x							
6-OI	10	7	Drosophila	auraria	diptera	OI	33.233333	131.606667	12.5843626041	110	11.5	1984	x	x							
6-OI	10	7	Drosophila	auraria	diptera	OI	33.233333	131.606667	19.1275167785	110	10	1984	x	x							
6-MY	10	7	Drosophila	auraria	diptera	MY	31.916667	131.416667	-1.3422818792	110	16	1984	x	n							
6-MY	10	7	Drosophila	auraria	diptera	MY	31.916667	131.416667	-1.1204481793	110	14	1984	x	n							
6-MY	10	7	Drosophila	auraria	diptera	MY	31.916667	131.416667	-1.0170511157	110	13	1984	x	n							
6-MY	10	7	Drosophila	auraria	diptera	MY	31.916667	131.416667	-1.2981031339	110	12.5	1984	x	n							
6-MY	10	7	Drosophila	auraria	diptera	MY	31.916667	131.416667	-0.8967345327	110	12	1984	x	n							
6-MY	10	7	Drosophila	auraria	diptera	MY	31.916667	131.416667	2.5210084034	110	11.5	1984	x	n							
6-MY	10	7	Drosophila	auraria	diptera	MY	31.916667	131.416667	29.8676517587	110	10	1984	x	n							
6b-ON	7	6	Drosophila	triauraria	diptera	ON	41.972	140.6691	2.5806451613	110	16	1984	x	x							
6b-ON	7	6	Drosophila	triauraria	diptera	ON	41.972	140.6691	1.6129032258	110	14	1984	x	x							
6b-ON	7	6	Drosophila	triauraria	diptera	ON	41.972	140.6691	11.2903225806	110	13.5	1984	x	x							
6b-ON	7	6	Drosophila	triauraria	diptera	ON	41.972	140.6691	18.064516129	110	13	1984	x	x							
6b-ON	7	6	Drosophila	triauraria	diptera	ON	41.972	140.6691	97.4193548387	110	12	1984	x	x							
6b-ON	7	6	Drosophila	triauraria	diptera	ON	41.972	140.6691	75.4838709677	110	10	1984	x	x							
6b-KT	7	4	Drosophila	triauraria	diptera	KT	39.28675	141.113222	2.5806451613	110	16	1984	x	n							
6b-KT	7	4	Drosophila	triauraria	diptera	KT	39.28675	141.113222	1.2903225806	110	14	1984	x	n							
6b-KT	7	4	Drosophila	triauraria	diptera	KT	39.28675	141.113222	54.1935483871	110	12	1984	x	n							
6b-KT	7	4	Drosophila	triauraria	diptera	KT	39.28675	141.113222	66.1290322581	110	10	1984	x	n							
6b-IW	7	7	Drosophila	triauraria	diptera	IW	38.104278	140.87016	2.2580645161	110	16	1984	x	x							
6b-IW	7	7	Drosophila	triauraria	diptera	IW	38.104278	140.87016	2.2580645161	110	14	1984	x	x							
6b-IW	7	7	Drosophila	triauraria	diptera	IW	38.104278	140.87016	7.7419354839	110	13.5	1984	x	x							
6b-IW	7	7	Drosophila	triauraria	diptera	IW	38.104278	140.87016	2.5806451613	110	13	1984	x	x							
6b-IW	7	7	Drosophila	triauraria	diptera	IW	38.104278	140.87016	14.1935483871	110	12.5	1984	x	x							
6b-IW	7	7	Drosophila	triauraria	diptera	IW	38.104278	140.87016	55.4838709677	110	12	1984	x	x							
6b-IW	7	7	Drosophila	triauraria	diptera	IW	38.104278	140.87016	69.3548387097	110	10	1984	x	x							
6b-TB	7	4	Drosophila	triauraria	diptera	TB	36.083472	140.076444	2.5806451613	110	16	1984	n	n							
6b-TB	7	4	Drosophila	triauraria	diptera	TB	36.083472	140.076444	2.2580645161	110	14	1984	n	n							
6b-TB	7	4	Drosophila	triauraria	diptera	TB	36.083472	140.076444	24.5161290323	110	12	1984	n	n							
6b-TB	7	4	Drosophila	triauraria	diptera	TB	36.083472	140.076444	44.1935483871	110	10	1984	n	n							
6b-OI	7	8	Drosophila	triauraria	diptera	OI	33.233333	131.606667	6.4516129032	110	16	1984	x	x							
6b-OI	7	8	Drosophila	triauraria	diptera	OI	33.233333	131.606667	6.1290322581	110	14	1984	x	x							
6b-OI	7	8	Drosophila	triauraria	diptera	OI	33.233333	131.606667	5.1612903226	110	13.5	1984	x	x							
6b-OI	7	8	Drosophila	triauraria	diptera	OI	33.233333	131.606667	3.2258064516	110	13	1984	x	x							
6b-OI	7	8	Drosophila	triauraria	diptera	OI	33.233333	131.606667	7.0967741935	110	12.5	1984	x	x							
6b-OI	7	8	Drosophila	triauraria	diptera	OI	33.233333	131.606667	42.5806451613	110	12	1984	x	x							
6b-OI	7	8	Drosophila	triauraria	diptera	OI	33.233333	131.606667	35.8064516129	110	11.5	1984	x	x							
6b-OI	7	8	Drosophila	triauraria	diptera	OI	33.233333	131.606667	62.9032258065	110	10	1984	x	x							
6b-KG	7	8	Drosophila	triauraria	diptera	KG	31.6	130.55	5.8064516129	110	16	1984	n	n							
6b-KG	7	8	Drosophila	triauraria	diptera	KG	31.6	130.55	1.935483871	110	14	1984	n	n							
6b-KG	7	8	Drosophila	triauraria	diptera	KG	31.6	130.55	4.1935483871	110	13.5	1984	n	n							
6b-KG	7	8	Drosophila	triauraria	diptera	KG	31.6	130.55	2.5806451613	110	13	1984	n	n							
6b-KG	7	8	Drosophila	triauraria	diptera	KG	31.6	130.55	2.5806451613	110	12.5	1984	n	n							
6b-KG	7	8	Drosophila	triauraria	diptera	KG	31.6	130.55	19.3548387097	110	12	1984	n	n							
6b-KG	7	8	Drosophila	triauraria	diptera	KG	31.6	130.55	9.6774193548	110	11.5	1984	n	n							
6b-KG	7	8	Drosophila	triauraria	diptera	KG	31.6	130.55	47.7419354839	110	10	1984	n	n							
6b-YK	7	7	Drosophila	triauraria	diptera	YK	30.358611	130.528611	6.1290322581	110	16	1984	n	n							
6b-YK	7	7	Drosophila	triauraria	diptera	YK	30.358611	130.528611	6.1290322581	110	14	1984	n	n							
6b-YK	7	7	Drosophila	triauraria	diptera	YK	30.358611	130.528611	2.9032258065	110	13	1984	n	n							
6b-YK	7	7	Drosophila	triauraria	diptera	YK	30.358611	130.528611	2.2580645161	110	12.5	1984	n	n							
6b-YK	7	7	Drosophila	triauraria	diptera	YK	30.358611	130.528611	2.2580645161	110	12	1984	n	n							
6b-YK	7	7	Drosophila	triauraria	diptera	YK	30.358611	130.528611	5.4838709677	110	11.5	1984	n	n							
6b-YK	7	7	Drosophila	triauraria	diptera	YK	30.358611	130.528611	15.4838709677	110	10	1984	n	n							
6b-KO	5	4	Drosophila	subauraria	diptera	KO	44.774361	142.254389	-0.6688963211	110	16	1984	x	n							
6b-KO	5	4	Drosophila	subauraria	diptera	KO	44.774361	142.254389	81.7180865056	110	14	1984	x	n							
6b-KO	5	4	Drosophila	subauraria	diptera	KO	44.774361	142.254389	99.219307805	110	12	1984	x	n							
6b-KO	5	4	Drosophila	subauraria	diptera	KO	44.774361	142.254389	95.652173913	110	10	1984	x	n							
6b-ON	7	6	Drosophila	triauraria	diptera	ON	41.972	140.6691	-0.6688963211	110	16	1984	x	x							
6b-ON	7	6	Drosophila	triauraria	diptera	ON	41.972	140.6691	33.223103228	110	14	1984	x	x							
6b-ON	7	6	Drosophila	triauraria	diptera	ON	41.972	140.6691	44.2861974372	110	13.5	1984	x	x							
6b-ON	7	6	Drosophila	triauraria	diptera	ON	41.972	140.6691	65.3864943069	110	13	1984	x	x							
6b-ON	7	6	Drosophila	triauraria	diptera	ON	41.972	140.6691	93.5073841644	110	12.5	1984	x	x							
6b-ON	7	6	Drosophila	triauraria	diptera	ON	41.972	140.6691	96.5446619819	110	12	1984	x	x							
6b-ON	7	6	Drosophila	triauraria	diptera	ON	41.972	140.6691	99.6664913006	110	10	1984	x	x							
6b-SM	7	6	Drosophila	subauraria	diptera	SM	40.599028	141.397611	-0.6679568599	110	16	1984	x	n							
6b-SM	7	6	Drosophila	subauraria	diptera	SM	40.599028	141.397611	4.1176581113	110	14	1984	x	n							
6b-SM	7	6	Drosophila	subauraria	diptera	SM	40.599028	141.397611	1.1423847281	110	13.5	1984	x	n							
6b-SM	7	6	Drosophila	subauraria	diptera	SM	40.599028	141.397611	11.5384615385	110	13	1984	x	n							
6b-SM	7	6	Drosophila	subauraria	diptera	SM	40.599028	141.397611	100.2132576754	110	12	1984	x	n							
6b-SM	7	6	Drosophila	subauraria	diptera	SM	40.599028	141.397611	100	110	10	1984	x	n							
6b-KT	7	4	Drosophila	triauraria	diptera	KT	39.28675	141.113222	-0.3335086994	110	16	1984	x	x							
6b-KT	7	4	Drosophila	triauraria	diptera	KT	39.28675	141.113222	2.4538724588	110	14	1984	x	x							
6b-KT	7	4	Drosophila	triauraria	diptera	KT	39.28675	141.113222	21.8800496035	110	13.5	1984	x	x							
6b-KT	7	4	Drosophila	triauraria	diptera	KT	39.28675	141.113222	62.0420127015	110	13	1984	x	x							
6b-KT	7	4	Drosophila	triauraria	diptera	KT	39.28675	141.113222	98.1915373342	110	12.5	1984	x	x							
6b-KT	7	4	Drosophila	triauraria	diptera	KT	39.28675	141.113222	91.5270001127	110	12	1984	x	x							
6b-KT	7	4	Drosophila	triauraria	diptera	KT	39.28675	141.113222	99.6664913006	110	10	1984	x	x							
6b-IW	7	7	Drosophila	triauraria	diptera	IW	38.104278	140.87016	-1.0033444816	110	16	1984	x	x							
6b-IW	7	7	Drosophila	triauraria	diptera	IW	38.104278	140.87016	-0.5571004472	110	14	1984	x	x							
6b-IW	7	7	Drosophila	triauraria	diptera	IW	38.104278	140.87016	15.8599827139	110	13.5	1984	x	x							
6b-IW	7	7	Drosophila	triauraria	diptera	IW	38.104278	140.87016	30.9383337717	110	13	1984	x	x							
6b-IW	7	7	Drosophila	triauraria	diptera	IW	38.104278	140.87016	57.0544135884	110	12.5	1984	x	x							
6b-IW	7	7	Drosophila	triauraria	diptera	IW	38.104278	140.87016	85.5088121454	110	12	1984	x	x							
6b-IW	7	7	Drosophila	triauraria	diptera	IW	38.104278	140.87016	99.6664913006	110	10	1984	x	x							
8-takaoka	3	5	Hyphantria	cunea	lepidoptera	takaoka	36.75	137.0166666667	94.6778711485	298	14	2009	x	n							
8-takaoka	3	5	Hyphantria	cunea	lepidoptera	takaoka	36.75	137.0166666667	96.3585434174	298	14.25	2009	x	n							
8-takaoka	3	5	Hyphantria	cunea	lepidoptera	takaoka	36.75	137.0166666667	69.7478991597	298	14.5	2009	x	n							
8-takaoka	3	5	Hyphantria	cunea	lepidoptera	takaoka	36.75	137.0166666667	-0.1400560224	298	14.75	2009	x	n							
8-takaoka	3	5	Hyphantria	cunea	lepidoptera	takaoka	36.75	137.0166666667	0	298	15	2009	x	n							
8-kanazawa	3	6	Hyphantria	cunea	lepidoptera	kanazawa	36.5666666667	136.65	100.4201680672	312.6	13.75	2009	x	n							
8-kanazawa	3	6	Hyphantria	cunea	lepidoptera	kanazawa	36.5666666667	136.65	91.5966386555	312.6	14	2009	x	n							
8-kanazawa	3	6	Hyphantria	cunea	lepidoptera	kanazawa	36.5666666667	136.65	82.0728291317	312.6	14.25	2009	x	n							
8-kanazawa	3	6	Hyphantria	cunea	lepidoptera	kanazawa	36.5666666667	136.65	45.2380952381	312.6	14.5	2009	x	n							
8-kanazawa	3	6	Hyphantria	cunea	lepidoptera	kanazawa	36.5666666667	136.65	-0.2801120448	312.6	14.75	2009	x	n							
8-kanazawa	3	6	Hyphantria	cunea	lepidoptera	kanazawa	36.5666666667	136.65	0	312.6	15	2009	x	n							
8-fukui	3	4	Hyphantria	cunea	lepidoptera	fukui	36.0666666667	136.2166666667	99.299719888	296	13.75	2009	x	n							
8-fukui	3	4	Hyphantria	cunea	lepidoptera	fukui	36.0666666667	136.2166666667	87.2549019608	296	14	2009	x	n							
8-fukui	3	4	Hyphantria	cunea	lepidoptera	fukui	36.0666666667	136.2166666667	33.6134453782	296	14.25	2009	x	n							
8-fukui	3	4	Hyphantria	cunea	lepidoptera	fukui	36.0666666667	136.2166666667	11.3445378151	296	14.5	2009	x	n							
9-AT	7	5	Hyphantria	cunea	lepidoptera	AT	39.7	140.1	100.6644518272	770	14	1996	x	x							
9-AT	7	5	Hyphantria	cunea	lepidoptera	AT	39.7	140.1	85.049833887	770	14.25	1996	x	x							
9-AT	7	5	Hyphantria	cunea	lepidoptera	AT	39.7	140.1	62.9568106312	770	14.5	1996	x	x							
9-AT	7	5	Hyphantria	cunea	lepidoptera	AT	39.7	140.1	22.9235880399	770	14.75	1996	x	x							
9-AT	7	5	Hyphantria	cunea	lepidoptera	AT	39.7	140.1	-0.8305647841	770	15	1996	x	x							
9-UM	7	3	Hyphantria	cunea	lepidoptera	UM	36.6	139.9	100.6644518272	770	14.25	1996	n	n							
9-UM	7	3	Hyphantria	cunea	lepidoptera	UM	36.6	139.9	37.3754152824	770	14.5	1996	n	n							
9-UM	7	3	Hyphantria	cunea	lepidoptera	UM	36.6	139.9	6.976744186	770	14.75	1996	n	n							
9-MB	7	4	Hyphantria	cunea	lepidoptera	MB	36.4	139.1	100.6644518272	770	14.25	1996	x	x							
9-MB	7	4	Hyphantria	cunea	lepidoptera	MB	36.4	139.1	56.3122923588	770	14.5	1996	x	x							
9-MB	7	4	Hyphantria	cunea	lepidoptera	MB	36.4	139.1	18.1063122924	770	14.75	1996	x	x							
9-MB	7	4	Hyphantria	cunea	lepidoptera	MB	36.4	139.1	-0.8305647841	770	15	1996	x	x							
9-FI	7	4	Hyphantria	cunea	lepidoptera	FI	36.1	136.2	100.8305647841	770	14.25	1996	x	x							
9-FI	7	4	Hyphantria	cunea	lepidoptera	FI	36.1	136.2	84.3853820598	770	14.5	1996	x	x							
