"popid"	"lower_b"	"med_b"	"upper_b"	"order"	"lower_w"	"med_w"	"upper_w"	"order.x"	"order.y"	"lower_e"	"med_e"	"upper_e"	"ID"	"PY"	"pops_left_drc"	"region"	"genus"	"spec"	"nmethod"	"degN"	"degE"	"n_pp"
"29"	"gomi. Kanazawa.Hyphantria.cunea"	0.203697261896496	0.22277493247584	0.234461087066787	"Lepidoptera"	0.0156452379191612	0.0269273869798912	0.0443384795462041	"Lepidoptera"	"Lepidoptera"	14.4347146401472	14.4627774686459	14.5010046868994	"gomi"	2009	"3"	"Japan"	"Hyphantria"	"cunea"	"pop level"	36.56666667	136.65	6
"30"	"gomi. Takaoka.Hyphantria.cunea"	0.217174436562454	0.225918353297909	0.233280321351545	"Lepidoptera"	0.0167201556744664	0.0238150196048172	0.0320521626108179	"Lepidoptera"	"Lepidoptera"	14.5094820736059	14.519513626384	14.5413522809374	"gomi"	2009	"3"	"Japan"	"Hyphantria"	"cunea"	"pop level"	36.75	137.0166667	5
"31"	"gomi_1981. Fukuoka.Tetranychus.urticae"	7.37614728040261e-06	0.000217993173264131	0.000781132776855122	"Trombidiformes"	0.0105614055895526	0.0196061563770114	0.0336240160996012	"Trombidiformes"	"Trombidiformes"	9.97689244837679	11.5009952645763	12.648203802647	"gomi_1981"	1981	"6"	"japan"	"Tetranychus"	"urticae"	"global average"	33.590278	130.401667	5
"32"	"gomi_1981. Fukushima.Tetranychus.urticae"	0.0823252468644152	0.0986492194476705	0.114944502570338	"Trombidiformes"	0.111129976595508	0.120198549274206	0.134506956411664	"Trombidiformes"	"Trombidiformes"	12.1486024129508	12.2462166928281	12.2919555062672	"gomi_1981"	1981	"6"	"japan"	"Tetranychus"	"urticae"	"global average"	37.75	140.473333	6
"33"	"gomi_1981. Ishikawa.Tetranychus.urticae"	0.0394022083747974	0.117754941347879	0.185693392795424	"Trombidiformes"	0.0643982138044507	0.122858160238336	0.153329927686619	"Trombidiformes"	"Trombidiformes"	9.32196583094395	10.0581169065489	11.6807995030665	"gomi_1981"	1981	"6"	"japan"	"Tetranychus"	"urticae"	"global average"	35.71666667	139.931056	9
"34"	"gomi_1981. Kagoshima.Tetranychus.urticae"	1.44500011317906e-06	0.000175007201270635	0.00240192326128416	"Trombidiformes"	0.00737096461880535	0.0201284686880162	0.0510127155584469	"Trombidiformes"	"Trombidiformes"	9.51089663226022	9.89923278766308	12.426066485303	"gomi_1981"	1981	"6"	"japan"	"Tetranychus"	"urticae"	"global average"	31.596536	130.557117	5
"35"	"gomi_1981. Morioka.Tetranychus.urticae"	0.161787383934634	0.196708381796833	0.214100909156527	"Trombidiformes"	0.0356039958148218	0.0528567492513948	0.0880897943609469	"Trombidiformes"	"Trombidiformes"	12.3867345666701	12.492075985086	12.5890114537492	"gomi_1981"	1981	"6"	"japan"	"Tetranychus"	"urticae"	"global average"	39.7	141.15444	7
"36"	"gomi_1981. Sapporo.Tetranychus.urticae"	0.188364643623105	0.20553357725586	0.216379859414642	"Trombidiformes"	0.0336550958544268	0.0442093021695033	0.0615008832193502	"Trombidiformes"	"Trombidiformes"	12.3593788422578	12.4740394124067	12.5831549097638	"gomi_1981"	1981	"6"	"japan"	"Tetranychus"	"urticae"	"global average"	43.05	141.354167	11
"37"	"gomi_1996. AT.Hyphantria.cunea"	0.238783416025055	0.242913744447712	0.244476854265633	"Lepidoptera"	0.00576760346328457	0.00732870905355522	0.0114475273229184	"Lepidoptera"	"Lepidoptera"	14.5393850549569	14.5532337871309	14.5666867528185	"gomi_1996"	1996	"6"	"Japan"	"Hyphantria"	"cunea"	"global average"	39.7	140.1	5
"38"	"gomi_1996. FI.Hyphantria.cunea"	0.243653022841187	0.246330215580099	0.247382833897709	"Lepidoptera"	0.0028645485931015	0.00391555017263468	0.00658832223683271	"Lepidoptera"	"Lepidoptera"	14.6051815843454	14.6145326151792	14.6243617090334	"gomi_1996"	1996	"6"	"Japan"	"Hyphantria"	"cunea"	"global average"	36.1	136.2	4
"39"	"gomi_1996. MB.Hyphantria.cunea"	0.241331431251867	0.244715062367066	0.246042084859484	"Lepidoptera"	0.00420393565326487	0.00552878652096287	0.00889909016340324	"Lepidoptera"	"Lepidoptera"	14.5479482490701	14.5589437061804	14.5699522599141	"gomi_1996"	1996	"6"	"Japan"	"Hyphantria"	"cunea"	"global average"	36.4	139.1	4
