"row"	"set"	"popid"	"ID"	"PY"	"region"	"pops_left"	"genus"	"spec"	"order"	"pop"	"degN"	"degE"	"nmethod"	"perc"	"n2"	"dl2"	"number"	"nslop"	"inc2"	"b"	"bse"	"c"	"cse"	"d"	"dse"	"e"	"ese"	"invvar_b"	"invvar_e"
"b:kimura_geogr_2-IW-Drosophila-triauraria"	"newsearch"	"kimura_geogr_2-IW-Drosophila-triauraria"	"kimura_geogr_2"	1984	"japan"	4	"Drosophila"	"triauraria"	"Diptera"	"IW"	38.104278	140.87016	"global average"	69.3548387097	110	10	2	"n"	76	78.3361982198097	4.62201706703898	0.0365749122174286	0.0052025027688065	0.688328092092927	0.00412518029399067	12.2175847525245	0.00954927293132805	0.0468098134554009	3514.63457191149
"b:kimura_geogr_2-KG-Drosophila-triauraria"	"newsearch"	"kimura_geogr_2-KG-Drosophila-triauraria"	"kimura_geogr_2"	1984	"japan"	4	"Drosophila"	"triauraria"	"Diptera"	"KG"	31.6	130.55	"global average"	47.7419354839	110	10	2	"n"	52	20.3950685801518	7.91664643398572	0.0365749122174286	0.0052025027688065	0.572181995594461	0.207864467366077	10.7362891709492	0.826017758579884	0.0159557602267542	1.46561948889287
"b:kimura_geogr_2-OI-Drosophila-triauraria"	"newsearch"	"kimura_geogr_2-OI-Drosophila-triauraria"	"kimura_geogr_2"	1984	"japan"	4	"Drosophila"	"triauraria"	"Diptera"	"OI"	33.233333	131.606667	"global average"	62.9032258065	110	10	2	"n"	69	98.0327478551699	27.2292906444683	0.0365749122174286	0.0052025027688065	0.49569519678085	0.0985595226848841	12.1747483156713	0.0980069891905306	0.0013487372270336	104.108431769679
"b:kimura_geogr_2-ON-Drosophila-triauraria"	"newsearch"	"kimura_geogr_2-ON-Drosophila-triauraria"	"kimura_geogr_2"	1984	"japan"	4	"Drosophila"	"triauraria"	"Diptera"	"ON"	41.972	140.6691	"global average"	75.4838709677	110	10	2	"n"	83	78.6627439072738	38.1765254498923	0.0365749122174286	0.0052025027688065	0.863333292221241	0.0782630139074863	12.7662723189812	0.0467315127087029	0.000686131251788264	457.910203690001
"b:kimura_geogr_3-IW-Drosophila-subauraria"	"newsearch"	"kimura_geogr_3-IW-Drosophila-subauraria"	"kimura_geogr_3"	1984	"japan"	3	"Drosophila"	"subauraria"	"Diptera"	"IW"	38.104278	140.87016	"global average"	99.6664913006	110	10	4	"x"	109	33.498902730281	3.64001975203208	0	0.000785462881832176	0.980207372575114	0.00600008899491694	12.6754198343104	0.0366201827867904	0.0754731574782225	745.691142667258
"b:kimura_geogr_3-KT-Drosophila-subauraria"	"newsearch"	"kimura_geogr_3-KT-Drosophila-subauraria"	"kimura_geogr_3"	1984	"japan"	3	"Drosophila"	"subauraria"	"Diptera"	"KT"	39.28675	141.113222	"global average"	99.6664913006	110	10	3	"x"	109	57.2120867858141	11.9239686513941	0	0.000785462881832176	0.980207372575114	0.00600008899491694	13.1664307216068	0.0466589144295689	0.00703328714989105	459.336270093995
"b:kimura_geogr_3-ON-Drosophila-subauraria"	"newsearch"	"kimura_geogr_3-ON-Drosophila-subauraria"	"kimura_geogr_3"	1984	"japan"	3	"Drosophila"	"subauraria"	"Diptera"	"ON"	41.972	140.6691	"global average"	99.6664913006	110	10	3	"x"	109	28.6203207512497	3.7216803596304	0	0.000785462881832176	0.980207372575114	0.00600008899491694	13.484979540023	0.0882158181387336	0.0721974500375793	128.501165732973
"b:koveos-Aile-froide-Tetranychus-urticae"	"newsearch"	"koveos-Aile-froide-Tetranychus-urticae"	"koveos"	1993	"Europe"	7	"Tetranychus"	"urticae"	"Trombidiformes"	"Aile-froide"	44.885	6.356111	"global average"	4.8623966432	250	17	2	"n"	12	65.8835614037094	9.25828294698924	0.0427835731780012	0.00638276029002689	1	0.00169575627850466	14.7567057093035	0.052055954258685	0.0116664601336588	369.027877869435
"b:koveos-leningrad-Tetranychus-urticae"	"newsearch"	"koveos-leningrad-Tetranychus-urticae"	"koveos"	1993	"Europe"	7	"Tetranychus"	"urticae"	"Trombidiformes"	"leningrad"	59.933333	30.266667	"global average"	5.4023889961	250	18	2	"n"	13	141.509058506758	30.357190707578	0.0491775482112367	0.00346111396277587	0.983438540598855	0.00322174292689903	16.3067825603788	0.0187407660199085	0.00108511768643104	2847.2481734002
"b:koveos-Thessaloniki2-Tetranychus-urticae"	"newsearch"	"koveos-Thessaloniki2-Tetranychus-urticae"	"koveos"	1993	"Europe"	7	"Tetranychus"	"urticae"	"Trombidiformes"	"Thessaloniki2"	40.647222	22.963889	"global average"	4.7619047619	250	17	2	"n"	11	77.4637975892575	11.830862976146	0.0455663573095389	0.00137191892160884	0.751837963006884	0.0153252385061464	11.0313798174792	0.0114653096364021	0.00714442285535602	3514.63457191149
"b:koveos-Voorne-Tetranychus-urticae"	"newsearch"	"koveos-Voorne-Tetranychus-urticae"	"koveos"	1993	"Europe"	7	"Tetranychus"	"urticae"	"Trombidiformes"	"Voorne"	51.816667	4.183333	"global average"	4.7326033843	250	18	3	"n"	11	130.852933884342	19.5304685235924	0.0443072981158243	0.00221022277967407	0.992480304235515	0.004917258019752	14.0156399709136	0.0133311576348005	0.00262164978856671	3514.63457191149
"b:koveos-warsaw-Tetranychus-urticae"	"newsearch"	"koveos-warsaw-Tetranychus-urticae"	"koveos"	1993	"Europe"	7	"Tetranychus"	"urticae"	"Trombidiformes"	"warsaw"	52.216667	21.033333	"global average"	4.1379310345	250	14.5	3	"n"	10	88.9067127122032	9.40532242245276	0.0352699188391084	0.00650958451038259	0.924520928521752	0.0227199465075888	13.7681958153457	0.0196817569457659	0.0113045329421017	2581.5008440656
"b:kurota-Ninohe-Bruchidius-dorsalis"	"newsearch"	"kurota-Ninohe-Bruchidius-dorsalis"	"kurota"	2003	"japan"	3	"Bruchidius"	"dorsalis"	"Coleoptera"	"Ninohe"	40.271111	141.305	"accurate"	4.8578477839	60	14	2	"n"	2	79.4565003188153	1.34639633915332	0	0.000212140967875448	0.975934687067862	0.00676732130703664	13.4151497299984	0.00467832104452409	0.303429886547167	3514.63457191149
"b:kurota-Sagamihara-Bruchidius-dorsalis"	"newsearch"	"kurota-Sagamihara-Bruchidius-dorsalis"	"kurota"	2003	"japan"	3	"Bruchidius"	"dorsalis"	"Coleoptera"	"Sagamihara"	35.571389	139.373333	"accurate"	0.1428581032	60	14	2	"n"	0	116.196591466009	2.30471112867357	0	0.000212140967875448	0.865859823027689	0.00218009613987264	12.7484308251535	0.00331946947241671	0.188263878806851	3514.63457191149
"b:kurota-Tatsuno-Bruchidius-dorsalis"	"newsearch"	"kurota-Tatsuno-Bruchidius-dorsalis"	"kurota"	2003	"japan"	3	"Bruchidius"	"dorsalis"	"Coleoptera"	"Tatsuno"	34.85	134.533333	"accurate"	0	40	14	2	"n"	0	74.4944632274727	24.7502956036649	0	0.000212140967875448	0.887163115367448	0.0955003874610059	13.2542347724214	0.0929526377926867	0.00163244748619627	115.73815709243
