row	set	popid	ID	PY	region	pops_left	genus	spec	order	pop	degN	degE	nmethod	perc	n2	dl2	number	b	bse	c	cse	d	dse	e	ese	use
b:koveos-warsaw-Tetranychus-urticae	newsearch	koveos-warsaw-Tetranychus-urticae	koveos	1993	Europe	7	Tetranychus	urticae	Trombidiformes	warsaw	52.216667	21.033333	global average	4.1379310345	250	14.5	10	91.5031818682	7.8809949907	0.0465758361	0.0077875363	0.9272748294	0.0228559458	13.7598209004	0.0199839411	y
b:kurahashi- Lae-Boettcherisca-peregrina	newsearch	kurahashi- Lae-Boettcherisca-peregrina	kurahashi	1989	japan, indonesia	3	Boettcherisca	peregrina	diptera	 Lae	-6.5	146.990224	global average	3.6184210526	100	9	4	101.8936068228	9.8588393701	0	0.0001517597	0.0671482688	0.0119450781	11.97464591	0.0380465553	y
b:kurahashi-Nagasaki-Boettcherisca-peregrina	newsearch	kurahashi-Nagasaki-Boettcherisca-peregrina	kurahashi	1989	japan, indonesia	3	Boettcherisca	peregrina	diptera	Nagasaki	32.750278	129.877778	global average	95.8881578947	100	9	96	46.2446326709	2.871249533	0	0.0001517597	0.9824946707	0.0069188186	13.5719925328	0.0308447383	y
b:kurahashi-Tokunoshima-Boettcherisca-peregrina	newsearch	kurahashi-Tokunoshima-Boettcherisca-peregrina	kurahashi	1989	japan, indonesia	3	Boettcherisca	peregrina	diptera	Tokunoshima	27.82	128.932222	global average	92.1052631579	100	9	92	42.16492826	3.2825344667	0	0.0001517597	0.8881060176	0.0204275347	12.1190202259	0.0267098523	y
b:kurota-Ninohe-Bruchidius-dorsalis	newsearch	kurota-Ninohe-Bruchidius-dorsalis	kurota	2003	japan	3	Bruchidius	dorsalis	coleoptera	Ninohe	40.271111	141.305	accurate	4.8578477839	60	14	3	74.7281479024	3.1589225632	0	0.0004738011	0.9834895793	0.011183069	13.4186551864	0.011375661	y
b:kurota-Sagamihara-Bruchidius-dorsalis	newsearch	kurota-Sagamihara-Bruchidius-dorsalis	kurota	2003	japan	3	Bruchidius	dorsalis	coleoptera	Sagamihara	35.571389	139.373333	accurate	0.1428581032	60	14	0	118.3887761437	3.5308363188	0	0.0004738011	0.8647784938	0.0033371797	12.7751761171	0.0054286247	y
b:kurota-Tatsuno-Bruchidius-dorsalis	newsearch	kurota-Tatsuno-Bruchidius-dorsalis	kurota	2003	japan	3	Bruchidius	dorsalis	coleoptera	Tatsuno	34.85	134.533333	accurate	0	40	14	0	73.189812731	39.8986191796	0	0.0004738011	0.9014687998	0.1284240822	13.2724291596	0.1430469373	y
b:lankinen-Dietikon1-drosophila-littoralis	newsearch	lankinen-Dietikon1-Drosophila-littoralis	lankinen	1986	Europe	9	Drosophila	littoralis	diptera	Dietikon1	47.4166666667	8.5	global average	0	30	21	0	25.4562638202	2.8233764062	0.02053084	0.0026280721	0.9701938417	0.0047911272	14.2072879112	0.1112264091	y
b:lankinen-Dietikon2-drosophila-littoralis	newsearch	lankinen-Dietikon2-Drosophila-littoralis	lankinen	1986	Europe	9	Drosophila	littoralis	diptera	Dietikon2	47.4166666667	8.5	global average	3.2967032967	30	21	1	34.9849810433	7.1571496786	0.02053084	0.0026280721	0.9053201322	0.049989091	12.1476829867	0.0524545193	y
b:lankinen-Hollola1-drosophila-littoralis	newsearch	lankinen-Hollola1-Drosophila-littoralis	lankinen	1986	Europe	9	Drosophila	littoralis	diptera	Hollola1	61.0833333333	25.4166666667	global average	1.1111111111	30	21	0	14.8148447396	1.9591993017	0.02053084	0.0026280721	1	0.0028857555	15.8162933055	0.2701752638	y
