row	set	popid	ID	PY	region	pops_left	genus	spec	order	pop	degN	degE	nmethod	perc	n2	dl2	number	b	bse	c	cse	d	dse	e	ese	use
b:urbanski-SAK-Aedes-albopictus	newsearch	urbanski-SAK-Aedes-albopictus	urbanski	2012	usa,japan	21	Aedes	albopictus	diptera	SAK	38.9166666667	139.0083333333	global average	2.5878003697	381	16	10	52.2169847585	7.0340289986	0.027131531	0.0035731318	0.9952898554	0.0034095044	13.6578100829	0.0607545547	y
b:urbanski-SHI-Aedes-albopictus	newsearch	urbanski-SHI-Aedes-albopictus	urbanski	2012	usa,japan	21	Aedes	albopictus	diptera	SHI	34.0166666667	130.9333333333	global average	3.9419839568	381	16	15	35.9232330518	4.3687675115	0.027131531	0.0035731318	0.8932578439	0.0134575412	13.1184858141	0.0687677646	y
b:urbanski-TAN-Aedes-albopictus	newsearch	urbanski-TAN-Aedes-albopictus	urbanski	2012	usa,japan	21	Aedes	albopictus	diptera	TAN	30.7166666667	130.9666666667	global average	1.7933284581	381	16	7	38.8384634121	2.6280660175	0.027131531	0.0035731318	0.957717204	0.0072315841	12.6295602262	0.0274646148	y
b:urbanski-TOK-Aedes-albopictus	newsearch	urbanski-TOK-Aedes-albopictus	urbanski	2012	usa,japan	21	Aedes	albopictus	diptera	TOK	35.6333333333	139.6333333333	global average	0.7246376812	381	16	3	49.3110229779	11.2465997625	0.027131531	0.0035731318	0.929186401	0.022702008	13.3041067894	0.0776432365	y
b:urbanski-UTS-Aedes-albopictus	newsearch	urbanski-UTS-Aedes-albopictus	urbanski	2012	usa,japan	21	Aedes	albopictus	diptera	UTS	36.5333333333	139.8666666667	global average	8.0279232112	381	16	31	91.5539084647	15.9568775093	0.027131531	0.0035731318	0.9632682417	0.0143601473	13.5544799066	0.0400212388	y
b:urbanski-WAV-Aedes-albopictus	newsearch	urbanski-WAV-Aedes-albopictus	urbanski	2012	usa,japan	21	Aedes	albopictus	diptera	WAV	37.0333333333	-77.1166666667	global average	0.6462603726	381	16	2	38.7973974434	7.2963705818	0.027131531	0.0035731318	0.926208829	0.0399013338	13.422214831	0.0670673111	y
b:urbanski-ZIO-Aedes-albopictus	newsearch	urbanski-ZIO-Aedes-albopictus	urbanski	2012	usa,japan	21	Aedes	albopictus	diptera	ZIO	33.75	-80.0333333333	global average	1.7361111111	381	16	7	47.9595734122	5.5530988198	0.027131531	0.0035731318	0.9244947694	0.0097738988	13.0443098252	0.0796304475	y
b:vaznunes-A-Tetranychus-urticae	newsearch	vaznunes-A-Tetranychus-urticae	vaznunes	1990	Europe	10	Tetranychus	urticae	Trombidiformes	A	44.885	6.356111	global average	-0.5618708782	200	18	0	72.630952297	10.7331486198	0.0041881963	0.0006005864	1	0.0016840155	14.7443381764	0.0605811408	y
b:vaznunes-K-Tetranychus-urticae	newsearch	vaznunes-K-Tetranychus-urticae	vaznunes	1990	Europe	10	Tetranychus	urticae	Trombidiformes	K	51.103333	2.654722	global average	0.4346833022	200	18	1	101.0924574622	11.8787020307	0.0041881963	0.0006005864	0.9764476931	0.0024879657	13.2801904114	0.0136452879	y
b:vaznunes-L-Tetranychus-urticae	newsearch	vaznunes-L-Tetranychus-urticae	vaznunes	1990	Europe	10	Tetranychus	urticae	Trombidiformes	L	59.933333	30.266667	global average	1.4201038185	200	18	3	106.7934736297	7.3144461595	0.0041881963	0.0006005864	0.9791457538	0.0112016619	16.7742242858	0.0107792666	y
b:vaznunes-P-Tetranychus-urticae	newsearch	vaznunes-P-Tetranychus-urticae	vaznunes	1990	Europe	10	Tetranychus	urticae	Trombidiformes	P	45.408056	11.872222	global average	0.182919275	200	18	0	92.9969371704	7.3944297908	0.0041881963	0.0006005864	0.9973796698	0.0013339668	12.6027914853	0.0086239212	y
b:vaznunes-S1-Tetranychus-urticae	newsearch	vaznunes-S1-Tetranychus-urticae	vaznunes	1990	Europe	10	Tetranychus	urticae	Trombidiformes	S1	46.749995	10.066666	global average	0.7475891356	200	18	1	125.0847319925	48.8342483642	0.0041881963	0.0006005864	0.9878311285	0.0103287923	15.4929390609	0.026083188	y
b:vaznunes-S2-Tetranychus-urticae	newsearch	vaznunes-S2-Tetranychus-urticae	vaznunes	1990	Europe	10	Tetranychus	urticae	Trombidiformes	S2	46.749995	10.066666	global average	0.36900369	200	18	1	119.6877526911	4.232570045	0.0041881963	0.0006005864	0.9745740017	0.0096079112	15.1374144055	0.0108753575	y
b:vaznunes-T1-Tetranychus-urticae	newsearch	vaznunes-T1-Tetranychus-urticae	vaznunes	1990	Europe	10	Tetranychus	urticae	Trombidiformes	T1	40.647222	22.963889	global average	0.8636936899	200	13.5	2	79.7012248919	12.2284355189	0.0041881963	0.0006005864	0.7484921438	0.0125452674	11.033710125	0.0113697455	y
b:vaznunes-T2-Tetranychus-urticae	newsearch	vaznunes-T2-Tetranychus-urticae	vaznunes	1990	Europe	10	Tetranychus	urticae	Trombidiformes	T2	40.647222	22.963889	global average	-0.0589779128	200	13	0	77.9200812682	18.3988103204	0.0041881963	0.0006005864	0.9582854579	0.0052834252	10.855058583	0.0297776407	y
b:vaznunes-V-Tetranychus-urticae	newsearch	vaznunes-V-Tetranychus-urticae	vaznunes	1990	Europe	10	Tetranychus	urticae	Trombidiformes	V	51.866667	4.166667	global average	-0.2411783284	200	18	0	124.9367075112	7.693638407	0.0041881963	0.0006005864	1	0.0022083599	13.9868197082	0.0065772226	y
b:vaznunes-W-Tetranychus-urticae	newsearch	vaznunes-W-Tetranychus-urticae	vaznunes	1990	Europe	10	Tetranychus	urticae	Trombidiformes	W	52.23333	21.016667	global average	-0.7462686567	200	18	0	101.0611508474	7.8170722167	0.0041881963	0.0006005864	0.9132072635	0.0247335324	13.7588031729	0.0202613982	y
b:wang-BJ-Sericinus-montelus	newsearch	wang-BJ-Sericinus-montelus	wang	2012	China	4	Sericinus	montelus	lepidoptera	BJ	40.25	115.0833333333	global average	-0.4219409283	75	16	0	78.4005166161	18.696159365	0	0.0010350647	1	0.0023682628	14.3677845837	0.0774663494	y
b:wang-HH-Sericinus-montelus	newsearch	wang-HH-Sericinus-montelus	wang	2012	China	4	Sericinus	montelus	lepidoptera	HH	27.55	109.9666666667	global average	-0.2812939522	75	15	0	61.9634900095	2.9636988491	0	0.0010350647	1	0.0023682628	12.4950669028	0.0078684859	y
b:wang-WH-Sericinus-montelus	newsearch	wang-WH-Sericinus-montelus	wang	2012	China	4	Sericinus	montelus	lepidoptera	WH	30.55	114.3166666667	global average	-0.1406469761	75	15	0	93.1237602844	7.5978740653	0	0.0010350647	1	0.0023682628	13.1141750148	0.0166470595	y
b:wang-ZB-Sericinus-montelus	newsearch	wang-ZB-Sericinus-montelus	wang	2012	China	4	Sericinus	montelus	lepidoptera	ZB	36.8	118.05	global average	-0.4219409283	75	16	0	72.3758039009	19.5107653503	0	0.0010350647	1	0.0023682628	14.1311311027	0.0948751517	y
b:yoshida-oita-Drosophila-triauraria	newsearch	yoshida-oita-Drosophila-triauraria	yoshida	1994	japan	3	Drosophila	triauraria	diptera	oita	33.239444	131.609167	global average	0.447719139	50	14	0	27.9281796698	3.9428644175	0.0034014905	0.0005881376	0.8946175083	0.007984159	12.2950285993	0.048529944	y
b:yoshida-onuma-Drosophila-triauraria	newsearch	yoshida-onuma-Drosophila-triauraria	yoshida	1994	japan	3	Drosophila	triauraria	diptera	onuma	41.972	140.6691	global average	0.4508295703	50	18	0	29.4712909933	1.7851141842	0.0034014905	0.0005881376	0.9746039866	0.0155598008	13.0593317443	0.0319305706	y
b:yoshida-yakushima-Drosophila-triauraria	newsearch	yoshida-yakushima-Drosophila-triauraria	yoshida	1994	japan	3	Drosophila	triauraria	diptera	yakushima	30.340287	130.522385	global average	0.4486339718	50	14	0	28.9868367673	6.072286467	0.0034014905	0.0005881376	0.3851917692	0.0296064265	9.9303334461	0.1177941809	y
b:kimura_evol- NR-Drosophila-auraria	newforward	kimura_evol- NR-Drosophila-auraria	kimura_evol	1988	japan	4	Drosophila	auraria	diptera	 NR	32.83975	129.060778	global average	1.335363883	50	14	1	39.6608746603	5.6624019861	0.0075896811	0.0046621316	0.7107738471	0.0135483827	11.1432785416	0.0368615436	y
b:kimura_evol- SD-Drosophila-auraria	newforward	kimura_evol- SD-Drosophila-auraria	kimura_evol	1988	japan	4	Drosophila	auraria	diptera	 SD	38.26833	140.86944	global average	-1.4658642405	50	14	0	39.9532601501	16.9664973159	0.0075896811	0.0046621316	0.7107738471	0.0135483827	11.3654764391	0.0519000407	y
b:kimura_evol- ST-Drosophila-auraria	newforward	kimura_evol- ST-Drosophila-auraria	kimura_evol	1988	japan	4	Drosophila	auraria	diptera	 ST	38.26833	140.86944	global average	-0.319762602	50	14	0	68.1245227287	5.2321350894	0.0075896811	0.0046621316	0.7107738471	0.0135483827	11.31290946	0.0123991694	y
b:takeda-portageville-Diatraea-grandiosella	newforward	takeda-portageville-Diatraea-grandiosella	takeda	1982	us	3	Diatraea	grandiosella	lepidoptera	portageville	36.3	-89.4	global average	0	50	24	0	81.9316164571	10.4324332573	0	0.0006668848	1	0.0022250559	15.1958207839	0.0449688739	y
b:takeda-starksville-Diatraea-grandiosella	newforward	takeda-starksville-Diatraea-grandiosella	takeda	1982	us	3	Diatraea	grandiosella	lepidoptera	starksville	33.3	-88.5	global average	0	50	24	0	60.6708447939	7.7761533217	0	0.0006668848	1	0.0022250559	15.2989968953	0.0252039502	y
b:takeda-stjohn-Diatraea-grandiosella	newforward	takeda-stjohn-Diatraea-grandiosella	takeda	1982	us	3	Diatraea	grandiosella	lepidoptera	stjohn	37.6	-98.5	global average	0	50	24	0	103.1720872538	11.1747192826	0	0.0006668848	1	0.0022250559	15.4127800534	0.0225681214	y
b:noda-Ishigaki-laodelphax-striatellus	oldsearch	noda-Ishigaki-Laodelphax-striatellus	noda	1992	japan	7	Laodelphax	striatellus	homoptera	Ishigaki	24.340556	124.155556	not described	12.5	100	12	12	8.4626902792	1.8575995678	0.0048862607	0.0026182297	0.7828671009	0.2137766033	9.5156706766	0.7167514206	y
b:noda-Izumu-laodelphax-striatellus	oldsearch	noda-Izumu-Laodelphax-striatellus	noda	1992	japan	7	Laodelphax	striatellus	homoptera	Izumu	35.368611	132.755	not described	-0.8012820513	100	14	0	42.5007852644	2.6945791524	0.0048862607	0.0026182297	1	0.0028701396	12.4715009351	0.0203294416	y
b:noda-Kagoshima-laodelphax-striatellus	oldsearch	noda-Kagoshima-Laodelphax-striatellus	noda	1992	japan	7	Laodelphax	striatellus	homoptera	Kagoshima	31.596536	130.557117	not described	3.0448717949	100	12.5	3	38.4413608021	8.6917091386	0.0048862607	0.0026182297	0.7802355022	0.0355487944	11.6541598099	0.1233084223	y
b:noda-Kamikawa-laodelphax-striatellus	oldsearch	noda-Kamikawa-Laodelphax-striatellus	noda	1992	japan	7	Laodelphax	striatellus	homoptera	Kamikawa	43.847186	142.770428	not described	-1.4423076923	100	16	0	76.7118524631	9.8130237034	0.0048862607	0.0026182297	1	0.0027226188	13.6951218209	0.0404412166	y
b:noda-Odawara-laodelphax-striatellus	oldsearch	noda-Odawara-Laodelphax-striatellus	noda	1992	japan	7	Laodelphax	striatellus	homoptera	Odawara	35.264636	139.152311	not described	3.8461538462	100	13	4	64.3926886629	7.2604630322	0.0048862607	0.0026182297	0.9279565673	0.0118258383	12.2338719477	0.0227677055	y
b:noda-Sendai-laodelphax-striatellus	oldsearch	noda-Sendai-Laodelphax-striatellus	noda	1992	japan	7	Laodelphax	striatellus	homoptera	Sendai	38.268333	140.869444	not described	0.641025641	100	16	1	65.5616515881	6.0441918979	0.0048862607	0.0026182297	0.9906543729	0.0061589577	13.1245973645	0.0167629948	y
b:noda-Tsukuba-laodelphax-striatellus	oldsearch	noda-Tsukuba-Laodelphax-striatellus	noda	1992	japan	7	Laodelphax	striatellus	homoptera	Tsukuba	36.080556	140.114722	not described	1.4423076923	100	14	1	53.9145040567	3.8879964761	0.0048862607	0.0026182297	1	0.0015819295	12.8003045511	0.0281887646	y
