"pop" "spec" "order" "yi" "upper" "lower" "p" "vi"
"66" "kimura.IW.Drosophila.subauraria" "subauraria" "Diptera" 0.655533160351339 0.860959545796852 0.459650875649209 0.838539283908066 0.16104864873567
"67" "kimura.IW.Drosophila.triauraria" "triauraria" "Diptera" 0.542174114551179 0.636648836450458 0.435626837183348 0.838539283908066 0.040409844189346
"68" "kimura.KG.Drosophila.triauraria" "triauraria" "Diptera" 0.835397093226284 0.923024366717272 0.656878641893775 1.02317153378017 0.0708335468418246
"69" "kimura.KO.Drosophila.auraria" "auraria" "Diptera" 0.409909866196783 0.578246790671594 0.299717714274412 0.884171141962369 0.0775784463986672
"70" "kimura.KO.Drosophila.subauraria" "subauraria" "Diptera" 0.504936118454594 0.579100100969277 0.426241358710081 0.884171141962369 0.0233657950850633
"71" "kimura.KT.Drosophila.subauraria" "subauraria" "Diptera" 0.967297386063178 0.991936603556659 0.901806423364448 0.898213165846204 0.00812344938148042
"72" "kimura.MY.Drosophila.auraria" "auraria" "Diptera" 0.250749531014624 0.409009131191861 0.142173410756554 0.901451439032726 0.0712013017002293
"73" "kimura.OI.Drosophila.auraria" "auraria" "Diptera" 0.461872110915024 0.738761957914642 0.234682506117296 0.813857636734759 0.254096093724313
"74" "kimura.OI.Drosophila.triauraria" "triauraria" "Diptera" 0.679203153334683 0.882017624806489 0.371058270128381 0.813857636734759 0.261079462133069
"75" "kimura.ON.Drosophila.auraria" "auraria" "Diptera" 0.707424188386095 0.789713222366352 0.55193788126196 0.900494821217612 0.05653711283731
"76" "kimura.ON.Drosophila.subauraria" "subauraria" "Diptera" 0.852826233424203 0.937893509603275 0.68565014809082 0.900494821217612 0.063626713427103
"77" "kimura.ON.Drosophila.triauraria" "triauraria" "Diptera" 0.499339933155637 0.576324106633854 0.413094310561143 0.900494821217612 0.0266439663259388
"78" "kimura.SP.Drosophila.auraria" "auraria" "Diptera" 0.907697113329511 0.955286254468335 0.823294667389473 0.910464778518251 0.0174217790595968
"79" "kimura.TS.Drosophila.auraria" "auraria" "Diptera" 0.680345546701422 0.83280711754466 0.495657554988416 0.718355295053464 0.113669827531867
"80" "kimura_1988. KS.Drosophila.auraria" "auraria" "Diptera" 0.545237157551553 0.668777549208608 0.424030025099551 1.02026583327386 0.0599013505575134
"81" "kimura_1988. NR.Drosophila.auraria" "auraria" "Diptera" 0.346489893081295 0.474339522325835 0.255732954883318 0.930832312104159 0.0477888313289997
"82" "kimura_1988. SD.Drosophila.auraria" "auraria" "Diptera" 0.390827471900022 0.519012739351798 0.284632404377153 0.831844297773173 0.0549341414228268
"83" "kimura_1988. ST.Drosophila.auraria" "auraria" "Diptera" 0.547790896136392 0.722912045820949 0.421328512903275 1.055476256161 0.0909526273271058
"84" "kimura_1993.Awashima.Drosophila.biauraria" "biauraria" "Diptera" 0.900753826922552 0.949588373823226 0.820427138708364 0.660689680230576 0.0166826246563967
